label,Customer_Rating,Traction_Score,Snow_Score,Handling
0,44,0,3,13
0,64,2,3,10
0,41,1,1,10
0,60,20,6,10
0,64,6,4,9
0,60,4,7,7
0,13,11,3,7
0,0,13,5,10
0,30,1,8,12
0,2,5,2,8
0,13,13,3,15
0,3,10,5,15
0,19,15,6,11
0,45,9,0,14
0,8,7,0,6
0,12,4,0,9
0,35,18,7,11
0,14,12,7,10
0,46,0,3,14
0,0,11,8,6
0,65,4,7,15
0,31,2,7,13
0,64,0,8,8
0,47,2,3,12
0,54,9,8,11
0,65,15,8,12
0,7,3,2,13
0,24,11,5,14
0,53,14,4,14
0,25,11,0,6
0,39,0,0,6
0,23,0,4,7
0,4,17,7,8
0,62,17,2,14
0,39,7,7,11
0,29,9,8,9
0,57,5,0,9
0,57,5,4,8
0,31,15,7,14
0,45,15,0,6
0,40,14,7,13
0,46,2,2,13
0,39,16,7,6
0,42,14,6,10
0,1,0,2,13
0,48,6,5,8
0,8,11,4,10
0,60,10,8,6
0,61,20,4,6
0,13,7,3,12
1,92,38,6,8
1,91,46,8,13
1,79,43,7,7
1,85,31,8,11
1,84,35,10,1
1,83,49,8,6
1,98,45,9,5
1,88,42,10,7
1,81,40,10,0
1,76,36,7,12
1,79,43,10,8
1,80,36,5,9
1,75,48,6,14
1,92,43,8,4
1,89,42,5,15
1,84,39,8,15
1,96,48,6,0
1,91,31,7,0
1,78,35,10,9
1,79,36,6,13
1,80,35,6,10
1,91,35,10,8
1,78,43,5,6
1,87,36,9,15
1,97,32,9,6
1,75,43,8,4
1,98,39,9,11
1,84,42,8,1
1,80,44,9,2
1,79,30,10,3
1,94,40,7,13
1,79,37,5,8
1,91,42,10,7
1,82,45,10,6
1,76,42,10,6
1,87,42,5,4
1,95,42,7,9
1,96,45,5,13
1,93,49,10,10
1,94,35,10,11
1,91,45,7,12
1,91,48,5,9
1,86,34,8,9
1,99,50,6,11
1,80,35,6,6
1,78,42,5,4
1,93,49,8,4
1,85,49,10,2
1,86,36,6,9
1,78,46,5,13
